prefecture,income,price
Hokkaido,566.6,101.7
Aomori,445.8,98.6
Iwate,429.3,99.7
Miyagi,562.2,99.9
Akita,496.3,98.9
Yamagata,502.5,101.2
Fukushima,611.6,99.3
Ibaraki,646,98
Tochigi,625.4,97.6
Gunma,639.2,96.4
Saitama,677.9,100.4
Chiba,711,101.5
Tokyo,805.4,104.5
Kanagawa,766.5,103.1
Niigata,525.5,98.2
Toyama,515.9,98.8
Ishikawa,515,99.4
Fukui,537.2,99.1
Yamanashi,549.9,97.8
Nagano,574.1,97.9
Gifu,557.3,97.2
Shizuoka,636.3,98.5
Aichi,645.9,98.5
Mie,603.7,99.1
Shiga,635.1,99.3
Kyoto,609.6,100.8
Osaka,605.9,99.3
Hyogo,636.8,99.1
Nara,615.1,97.1
Wakayama,520.7,98.6
Tottori,444.4,98.8
Shimane,540.8,100.1
Okayama,545.3,98.1
Hiroshima,554.9,98.8
Yamaguchi,628,99.7
Tokushima,549,98.8
Kagawa,523.3,97.8
Ehime,576.4,98.4
Kochi,519.1,100
Fukuoka,576.6,97.1
Saga,493.8,97.5
Nagasaki,565.8,98.8
Kumamoto,520.3,98.9
Oita,521.7,97
Miyazaki,432.5,96.1
Kagoshima,541.4,95.9
Okinawa,483,99.6
